2	17	53	70.33333333333333
3	25	66	82.0
8	45	43	43.2
1	17	5	17.333333333333332
10	51	59	45.81818181818182
3	25	66	82.0
13	94	53	214.33333333333334
3	25	66	82.0
4	29	83	104.14285714285714
7	42	72	72.18181818181819
4	29	83	104.14285714285714
7	42	72	72.18181818181819
6	40	92	137.14285714285714
7	42	72	72.18181818181819
6	40	92	137.14285714285714
10	51	59	45.81818181818182
6	40	92	137.14285714285714
10	51	59	45.81818181818182
6	40	92	137.14285714285714
10	51	59	45.81818181818182
4	29	83	104.14285714285714
10	51	59	45.81818181818182
7	42	72	72.18181818181819
8	45	43	43.2
7	42	72	72.18181818181819
8	45	43	43.2
7	42	72	72.18181818181819
8	45	43	43.2
7	42	72	72.18181818181819
8	45	43	43.2
10	51	59	45.81818181818182
2	17	53	70.33333333333333
8	45	43	43.2
8	45	43	43.2
0	4	42	115.5
11	53	28	27.75
4	29	83	104.14285714285714
11	53	28	27.75
4	29	83	104.14285714285714
11	53	28	27.75
6	40	92	137.14285714285714
5	40	20	15.833333333333334
9	47	91	98.0
5	40	20	15.833333333333334
7	42	72	72.18181818181819
5	40	20	15.833333333333334
12	65	36	63.0
5	40	20	15.833333333333334
10	51	59	45.81818181818182
1	17	5	17.333333333333332
7	42	72	72.18181818181819
3	25	66	82.0
6	40	92	137.14285714285714
3	25	66	82.0
6	40	92	137.14285714285714
7	42	72	72.18181818181819
1	17	5	17.333333333333332
7	42	72	72.18181818181819
2	17	53	70.33333333333333
10	51	59	45.81818181818182
0	4	42	115.5
10	51	59	45.81818181818182
4	29	83	104.14285714285714
10	51	59	45.81818181818182
10	51	59	45.81818181818182
8	45	43	43.2
8	45	43	43.2
8	45	43	43.2
11	53	28	27.75
5	40	20	15.833333333333334
5	40	20	15.833333333333334
13	94	53	214.33333333333334
13	94	53	214.33333333333334
4	29	83	104.14285714285714
9	47	91	98.0
