id;x;y;height;environment
1;41.34280555555556;27.456888888888887;58.333333333333336;rural
9;41.41822222222222;27.219555555555555;53.0;rural
10;41.24219444444444;27.684361111111112;96.75;rural
11;41.27316666666667;27.96463888888889;148.0;rural
12;41.18147222222222;27.813305555555555;122.5;rural
13;41.23858333333333;27.869722222222222;146.33333333333334;rural
14;41.13002777777778;27.772972222222222;95.0;rural
15;41.36988888888889;27.176000000000002;34.75;rural
16;41.246833333333335;26.6185;15.0;rural
17;41.785916666666665;27.129277777777776;244.0;rural
18;41.364694444444446;27.061805555555555;39.2;rural
19;41.27711111111111;27.582555555555555;97.0;rural
20;41.19519444444444;27.46575;73.0;rural
21;41.34236111111111;27.03888888888889;38.75;rural
22;41.34030555555556;27.26763888888889;41.5;rural
23;41.20744444444445;27.86411111111111;139.5;rural
2;41.060138888888886;27.338777777777775;111.0;rural
24;41.36775;27.14011111111111;38.6;rural
3;41.171388888888885;27.79488888888889;122.5;rural
25;41.216750000000005;27.526333333333334;70.33333333333333;rural
4;41.293416666666666;27.944222222222223;148.0;rural
26;41.25669444444444;27.735666666666667;98.5;rural
5;41.33572222222222;27.47411111111111;63.333333333333336;rural
27;41.683166666666665;27.198083333333333;166.0;rural
6;41.26419444444444;27.639055555555554;95.5;rural
28;41.29263888888889;27.503444444444444;61.25;rural
7;41.357527777777776;27.387416666666667;45.25;rural
0;41.261916666666664;27.548111111111112;92.0;rural
29;41.254444444444445;27.453083333333332;56.0;rural
8;41.22958333333334;27.64325;93.66666666666667;rural
