id=0	x=41	y=9	total_score=1.227544740056216	avg_score=0.40918158001873867
id=8	x=35	y=51	total_score=3.5832923323585355	avg_score=0.35832923323585353
id=5	x=11	y=41	total_score=1.6085137636301523	avg_score=0.32170275272603044
id=6	x=66	y=41	total_score=6.715059400877131	avg_score=0.39500349416924296
id=2	x=62	y=22	total_score=1.061983720240954	avg_score=0.35399457341365137
id=9	x=53	y=58	total_score=4.22670412041586	avg_score=0.3842458291287146
id=4	x=42	y=30	total_score=1.4452367679081388	avg_score=0.48174558930271294
id=10	x=54	y=97	total_score=1.012059450449708	avg_score=0.3373531501499027
id=1	x=3	y=19	total_score=1.1695450758438484	avg_score=0.38984835861461614
id=3	x=82	y=25	total_score=2.4181530847232797	avg_score=0.4030255141205466
id=7	x=90	y=43	total_score=4.2885798706980465	avg_score=0.389870897336186
