id=0	x=29	y=3	total_score=0.5902187756012968	avg_score=0.2951093878006484
id=8	x=91	y=42	total_score=3.6650217937673704	avg_score=0.366502179376737
id=5	x=24	y=38	total_score=2.050197560864088	avg_score=0.29288536583772684
id=6	x=72	y=39	total_score=5.211780700050699	avg_score=0.3722700500036214
id=2	x=3	y=22	total_score=0.961776618201289	avg_score=0.3205922060670963
id=9	x=36	y=56	total_score=1.536882498972754	avg_score=0.2561470831621257
id=4	x=87	y=23	total_score=1.5875483953831726	avg_score=0.39688709884579315
id=10	x=63	y=56	total_score=3.5172019053442103	avg_score=0.39080021170491225
id=1	x=53	y=15	total_score=1.1550214094579134	avg_score=0.3850071364859711
id=11	x=51	y=96	total_score=0.9268212394612062	avg_score=0.3089404131537354
id=3	x=75	y=22	total_score=0.8736722677015335	avg_score=0.2912240892338445
id=7	x=49	y=42	total_score=3.0412892179237008	avg_score=0.2764808379930637
