t11-3	29.386328823078923	68.13496106228293	69.0
m6	73.62139392392213	96.71662666413397	49.0
t11-1	4.6623691600715675	53.62008530036431	102.0
m8	76.17277252999801	90.52371660939681	43.0
ec2	35.94906816441148	132.12836496123495	95.0
m9	73.49693643094277	86.89499766891724	45.0
t1-2	58.67692111309651	111.16156994111861	83.0
m10	75.80418687771352	81.01030856629733	33.0
m11	74.45908858820607	67.5236993421166	46.0
ec8	47.17417666581561	104.52057396439463	67.0
m12	72.53957110033184	63.680002762764964	32.0
m13	71.45774827674278	52.82492704574087	28.0
m14	69.4329206025024	44.12998808557637	18.0
m15	62.626053101863505	31.966915891077857	24.0
t5-2	74.15273168241005	89.8787836927803	44.0
m16	56.07767424049057	24.48154991107343	18.0
t4	75.15317845289741	96.17788752093652	41.0
t13-1	148.97561909624702	72.10816224336484	244.0
cc10	38.093566504978824	115.91956900868531	89.0
t2-4	64.2296400306357	103.65030304076774	57.0
ec1	73.27674240490205	137.58827897017923	111.0
cc11	41.745915241255794	106.04613817277634	87.0
t8-1	23.90541230533543	91.6426363683453	111.0
t14-1	61.21872606586638	61.856577970403656	100.0
m18	20.5067653816696	0.0	12.0
m7	74.20059994894133	92.84184898036706	48.0
t12-3	131.269147306612	78.52382021307812	166.0
t12-1	150.0	85.90040232762922	233.0
cc8	43.0766530508036	134.1719475765375	120.0
m1	29.07518509063172	103.79016801063632	118.0
cc7	44.814271125861175	135.8891785954794	136.0
t3-1	72.61616032678116	102.65570769948005	57.0
cc6	49.28995404646491	140.62645692676944	150.0
cc2	64.10518253765632	148.0962823545664	154.0
cc3	54.65598672453382	141.1496555177594	130.0
t6	72.18534592800697	85.00941066772572	44.0
cc4	48.442685728874956	136.629944917376	119.0
t8-2	74.27240234873702	75.00129504601696	22.0
ec5	53.105054888946526	120.03263515963583	83.0
t7-2	77.28331631350511	76.46469704556844	42.0
ec6	59.06944089864665	119.64153126241072	107.0
t9	76.91473066122062	73.11829813686033	42.0
ec7	50.89354097523711	109.13093778598932	76.0
t10	73.93732448302295	70.24329597845059	41.0
t1-1	61.29531529231569	114.37328406402696	101.0
t11-5	72.29544294102672	67.72831661285034	39.0
t2-2	63.971151391370945	106.99670194947585	55.0
t12-2	27.007275976513696	67.18957746965258	31.0
t5-1	87.41702833801294	94.30266088788363	62.0
t12-5	76.3881797293851	65.81682869131268	38.0
t11-4	57.64296655603749	70.9970127605201	44.0
t13-2	83.59235384222654	53.42841848980379	37.0
t11-2	0.0	53.14868855006659	129.0
t13-3	79.45174878733687	51.835511888522355	34.0
cc9	43.93349502169957	131.3409769827156	115.0
t13-4	73.61182027061612	49.462987584825285	22.0
ec4	55.278274189430675	123.86597137084946	91.0
t14-2	66.71878989022188	40.452057396439464	18.0
cc1	60.61558590758277	150.0	142.0
t15	60.965024253255244	30.386959749969645	12.0
t2-1	72.33373755425076	124.86315680417174	85.0
t16	56.733469491957855	26.94731752801601	12.0
t3-2	71.39551953025308	104.26156476093438	69.0
t17	49.15113607352591	23.49731493792406	11.0
t12-4	91.84484299208661	64.28608429886212	63.0
t18	28.338013786061506	17.840553934349767	21.0
t7-1	85.61239468981329	80.52596135582671	53.0
m2	47.178963492468	103.48194705851876	70.0
t2-3	66.20659943834478	108.70357260027977	69.0
m3	48.5479959152423	104.52834424049836	68.0
cc5	50.05105948429954	142.95494966587802	159.0
m4	57.38926474342636	102.30086509073939	56.0
ec3	57.77699770232288	128.64987135876228	106.0
m5	66.13479703854908	101.52642757239292	64.0
m17	35.87247893796339	11.572531210608823	19.0
