Gateway#016	x:0	y:16
Gateway#744	x:7	y:44
Gateway#796	x:7	y:96
Gateway#2077	x:20	y:77
Gateway#20100	x:20	y:100
Gateway#2215	x:22	y:15
Gateway#250	x:25	y:0
Gateway#4157	x:41	y:57
Gateway#4628	x:46	y:28
Gateway#5178	x:51	y:78
Gateway#5498	x:54	y:98
Gateway#569	x:56	y:9
Gateway#5839	x:58	y:39
Gateway#7073	x:70	y:73
Gateway#7266	x:72	y:66
Gateway#7634	x:76	y:34
Gateway#8166	x:81	y:66
Gateway#827	x:82	y:7
Gateway#8360	x:83	y:60
Gateway#8621	x:86	y:21
Gateway#9296	x:92	y:96
Gateway#9950	x:99	y:50
