id;x;y;height;environment
6;41.11291444444444;26.484640000000002;19.0;rural
24;41.30441222222222;27.4981175;60.333333333333336;rural
2;41.05198333333333;27.337248055555555;111.0;rural
25;41.32182111111111;27.46594361111111;63.333333333333336;rural
26;41.33052555555555;26.902900555555558;25.0;rural
1;41.02587;26.388118333333335;12.0;rural
3;41.08680111111111;26.54898777777778;21.0;rural
27;41.33923;27.723334722222223;85.0;rural
7;41.12161888888889;27.75550861111111;95.0;rural
28;41.33923;27.86811722222222;111.0;rural
8;41.147732222222224;27.626813055555555;89.0;rural
29;41.34793444444444;27.256813333333334;40.666666666666664;rural
9;41.17384555555555;27.7876825;123.66666666666667;rural
30;41.35663888888889;27.06377;38.75;rural
10;41.18255;27.482030555555557;73.0;rural
31;41.35663888888889;27.144204722222224;36.75;rural
11;41.19995888888889;26.6294225;11.0;rural
0;40.93882555555555;26.902900555555558;115.5;rural
32;41.35663888888889;27.353335;45.0;rural
4;41.08680111111111;27.09594388888889;50.0;rural
12;41.208663333333334;27.546378333333333;76.0;rural
33;41.40016111111111;26.935074444444446;35.5;rural
13;41.217367777777774;27.85203027777778;139.5;rural
34;41.426274444444445;27.192465555555557;53.0;rural
14;41.23477666666667;27.128117777777778;44.0;rural
35;41.426274444444445;27.337248055555555;62.0;rural
15;41.24348111111111;27.6429;93.66666666666667;rural
36;41.434978888888885;27.031596111111114;63.0;rural
5;41.095505555555555;27.4981175;118.0;rural
16;41.24348111111111;27.739421666666665;106.0;rural
37;41.67870333333333;27.2085525;166.0;rural
17;41.252185555555556;26.6294225;15.0;rural
38;41.765747777777776;27.128117777777778;244.0;rural
18;41.252185555555556;27.482030555555557;56.0;rural
39;41.79186111111111;27.24072638888889;233.0;rural
19;41.27829888888889;26.661596388888892;18.0;rural
20;41.27829888888889;27.57855222222222;92.0;rural
21;41.27829888888889;27.96463888888889;148.0;rural
22;41.29570777777778;26.999422222222222;100.0;rural
23;41.30441222222222;26.822465833333336;18.0;rural
